v_videoId,v_videoFile,v_videoDuration,v_videoPlatform,v_videoViews,v_videoLanguage,v_videoCost,v_videoRegionId,v_videoDemographicId,v_videoProjectId
60,Turpis.jpeg,485,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",430552,Malagasy,4212280,2,14,274
61,NisiVolutpatEleifend.png,379,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1327920,Swati,2174247,1,12,171
62,DuisFaucibusAccumsan.xls,371,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",5031702,Kashmiri,9518916,1,10,36
63,MattisOdioDonec.xls,125,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",4915387,Spanish,7450733,2,15,59
64,EtiamPretiumIaculis.mov,423,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",3753474,Malay,4375707,1,6,25
65,AmetConsectetuerAdipiscing.mp3,483,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",2862961,Afrikaans,9378684,4,10,220
66,DuiVelSem.jpeg,358,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",3575720,French,2779027,1,9,264
67,Mi.mp3,342,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1487401,Hiri Motu,3930674,4,12,255
68,FelisUtAt.mp3,48,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",5899006,Lithuanian,3248153,4,11,128
69,Leo.jpeg,368,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",3203564,Kannada,7835008,1,4,20
70,UltricesAliquet.ppt,58,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1880802,Nepali,7622453,1,2,63
71,MolestieLoremQuisque.mov,584,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9289865,Persian,6996197,1,7,69
72,CubiliaCurae.doc,139,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",2551229,Montenegrin,1022781,5,12,145
73,TortorEu.xls,203,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",334598,Irish Gaelic,6247281,4,1,171
74,OrciLuctusEt.avi,341,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",2173240,Zulu,1922476,5,11,175
75,MorbiUtOdio.ppt,371,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",7934580,Georgian,5485444,5,4,70
76,IdConsequatIn.avi,592,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",7632345,Aymara,7774532,4,2,232
77,QuisqueUtErat.pdf,459,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",3088547,Swahili,2403228,3,5,54
78,SitAmet.tiff,193,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6142884,Catalan,7786394,5,9,191
79,DonecPharetra.avi,417,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9161338,Georgian,4352939,4,7,176
80,Cum.ppt,309,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9496731,Armenian,4088578,5,1,175
81,Turpis.avi,553,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6612271,Kurdish,6119397,3,12,182
82,DuisAt.gif,135,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",8120447,Estonian,5641548,5,7,16
83,FaucibusOrci.xls,403,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6498147,Czech,3091342,5,5,296
84,Sapien.mov,175,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9524542,Hebrew,5070392,3,5,41
85,Diam.tiff,97,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",2124684,Tok Pisin,3847263,1,1,159
86,PedeAcDiam.tiff,193,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9647961,Northern Sotho,3732884,1,1,230
87,LectusVestibulumQuam.avi,439,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",7753952,Kurdish,1550353,3,6,290
88,Vitae.xls,587,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",3655787,Icelandic,4135066,4,7,213
89,Pretium.xls,462,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",4932995,Oriya,8030221,2,3,113
90,DolorSitAmet.tiff,492,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6190750,Hebrew,3941326,1,3,64
91,MaurisViverraDiam.avi,567,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9487048,Czech,2300464,2,8,48
92,OdioDonec.mp3,276,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1892183,French,284765,4,4,183
93,VestibulumSagittisSapien.tiff,337,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",164467,West Frisian,7737266,2,15,225
94,SuscipitAFeugiat.gif,379,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",2073675,New Zealand Sign Language,5136469,2,5,6
95,RhoncusSedVestibulum.ppt,80,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1296858,Malagasy,8096691,4,6,221
96,InSapien.mp3,359,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",3749963,Korean,4348112,1,9,295
97,In.png,514,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",8822976,Tetum,7507195,2,11,199
98,NullamSit.mp3,567,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9581400,Thai,4045992,4,7,206
99,NullaIntegerPede.jpeg,72,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",689706,Kurdish,2690264,4,10,69
100,AcTellusSemper.avi,502,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",4303288,Haitian Creole,2157527,1,15,21
101,Posuere.mp3,365,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",607841,Greek,1998354,1,5,58
102,PedeMorbi.gif,123,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",3492425,Thai,5795285,5,8,247
103,Justo.avi,173,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",8117898,Romanian,4668007,3,15,51
104,CumSociisNatoque.ppt,227,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1127103,Dzongkha,3132559,3,3,296
105,Nulla.xls,599,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9648170,Albanian,9735486,4,9,37
106,MolestieSed.avi,298,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",5911274,New Zealand Sign Language,5801190,5,7,140
107,VelAugue.pdf,437,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",5393899,Tsonga,6697135,2,7,184
108,Diam.mov,200,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",2404457,Hebrew,5571145,3,9,238
109,Arcu.gif,260,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6147885,Czech,9890045,1,1,292
110,Dictumst.avi,556,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6715647,Latvian,3026250,5,11,237
111,CubiliaCuraeDuis.xls,394,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",3873231,Catalan,6403638,1,6,87
112,NullaNunc.mp3,362,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",5376357,Sotho,2683384,5,7,128
113,Quam.avi,533,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9007174,Telugu,3040330,5,5,295
114,LoremId.mp3,174,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",7380170,Polish,2546805,3,14,261
115,ASuscipitNulla.mp3,482,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6627967,Kurdish,1145273,1,10,80
116,UtRhoncus.xls,307,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9946646,Estonian,6587377,4,2,95
117,IdLuctusNec.xls,252,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",8891,Khmer,4168417,4,8,171
118,RisusSemperPorta.jpeg,44,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",2689445,Gagauz,8998070,2,7,215
119,AliquamAugue.avi,67,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9757735,Azeri,6603206,4,12,250
120,UrnaUtTellus.xls,146,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",4794292,Norwegian,5685437,2,11,14
121,Venenatis.ppt,94,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6149465,Maltese,4767188,2,14,103
122,MorbiVel.txt,168,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1439700,Punjabi,7974921,3,5,287
123,Eleifend.avi,209,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",529780,Italian,7501855,2,4,26
124,ConsectetuerAdipiscing.mp3,586,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",3592905,Portuguese,204342,4,4,123
125,NequeDuisBibendum.avi,484,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",4385348,Amharic,7642904,3,7,215
126,IpsumPrimisIn.mp3,247,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",2329394,Filipino,4333365,1,8,220
127,CondimentumCurabitur.ppt,98,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",3634567,Pashto,3948226,1,7,227
128,SapienA.xls,529,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1074131,Kyrgyz,1895488,5,11,86
129,IdSapien.xls,280,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1588227,Malagasy,9159713,5,2,206
130,JustoAliquamQuis.avi,34,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",3165297,Azeri,3329320,1,5,179
131,PenatibusEt.txt,356,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",2135253,Armenian,1287212,2,11,238
132,Potenti.xls,164,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1623801,French,5757594,4,14,132
133,Sit.pdf,381,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1815892,Haitian Creole,4429578,2,8,27
134,IpsumPraesentBlandit.ppt,198,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6380422,Afrikaans,760279,2,11,141
135,Lectus.tiff,260,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9880144,Telugu,2210507,4,7,234
136,Nunc.mp3,247,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",7555349,Northern Sotho,4047593,2,9,174
137,AliquetMassa.xls,37,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",5507553,Romanian,8885974,2,10,12
138,Sed.ppt,241,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",4215316,Indonesian,8213846,1,10,101
139,ConsequatUtNulla.gif,280,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1032877,Finnish,324846,1,5,28
140,Cras.mp3,64,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1579836,Telugu,5156465,2,4,231
141,In.gif,277,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",342600,Malay,3356544,4,12,286
142,Rhoncus.png,327,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",8648557,Bengali,675936,2,6,83
143,Condimentum.xls,431,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6191526,Māori,2453775,2,8,214
144,QuisJustoMaecenas.gif,235,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",8361144,Hungarian,8369248,3,11,202
145,NullaIntegerPede.ppt,557,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6304759,Croatian,1928128,2,5,44
146,AliquamLacusMorbi.mov,492,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",2254620,Norwegian,621780,5,1,122
147,LectusInEst.doc,252,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6364366,Portuguese,8211895,5,11,246
148,LectusPellentesque.mp3,173,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",4065127,Armenian,9447762,4,13,80
149,FelisSedLacus.ppt,248,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",5152907,Persian,7129346,3,1,290
150,MetusSapien.avi,598,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6266320,Yiddish,9603455,1,6,214
151,DapibusNullaSuscipit.ppt,276,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",692828,Marathi,1773004,5,5,210
152,VivamusVelNulla.ppt,452,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",593913,Luxembourgish,2154469,3,9,173
153,IaculisDiam.tiff,107,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",5396640,Polish,7487523,4,2,153
154,Molestie.avi,98,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9811992,Maltese,2089884,1,10,63
155,LuctusEt.xls,132,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1587141,Tok Pisin,5251637,3,1,7
156,RisusDapibus.ppt,403,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",5951844,New Zealand Sign Language,3808741,2,11,45
157,Vel.tiff,44,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",8140778,Gagauz,8965832,2,9,120
158,MassaTemporConvallis.xls,196,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6241191,Swedish,9965819,2,15,300
159,Faucibus.avi,142,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",5394509,Kannada,6890501,5,13,253
160,CurabiturIn.avi,376,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",999514,Yiddish,3987170,3,7,65
161,FermentumDonec.tiff,301,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1751389,Finnish,7602996,3,15,67
162,Luctus.ppt,173,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",8719911,Indonesian,3638569,5,10,182
163,Nisl.txt,503,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9548958,Hiri Motu,6585805,2,12,205
164,DuisBibendum.avi,147,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",5657626,Punjabi,8416233,1,3,108
165,Nulla.doc,307,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9519054,Bislama,5930972,2,1,180
166,Platea.png,330,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",7500816,Oriya,4003917,1,7,201
167,LuctusRutrumNulla.jpeg,335,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",5237498,Dari,675532,2,3,17
168,VenenatisTurpis.ppt,227,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",4755628,Hebrew,9205612,3,15,223
169,AtNibhIn.mov,366,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",8995585,Tamil,9035562,3,7,171
170,DuisAliquamConvallis.txt,457,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6929248,Dzongkha,3766699,4,3,228
171,InPorttitorPede.ppt,537,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",2207844,Kashmiri,1566458,4,8,100
172,IpsumPrimisIn.jpeg,116,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",4352853,Latvian,8703776,5,7,80
173,QuisOrciNullam.pdf,571,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9655496,West Frisian,7713711,3,10,27
174,MolestieHendreritAt.pdf,530,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",45711,Māori,682771,1,14,216
